DIAGNOSIS,PATHOLOGY GEATURES,Similar Disease 1,Similar Disease 2,Similar Disease 3,Similar Disease 4
Rosacea,Vascular telangiectasia with solar elastosis. Perifollicular and perivascular lymphoid infiltrate often with scattered plasma cells. Sometimes associated with granulomatous inflammation. Sebaceous hyperplasia common.,Acne Vulgaris,Lupus Erythematosus,Perioral Dermatitis,Lupus Miliaris  Disseminatus Faciei
Rosai-Dorfman Disease,"Dense dermal infiltrate of large histiocytes with abundant cytoplasm, vesicular nuclei and admixed plasma cells, neutrophils, lymphocytes and giant cells. Emperiopolesis of neutrophils and lymphocytes with some of the large macrophages. Cells are positive for S100 and CD68.",Xanthogranuloma,Reticulohistiocytoma,Langerhan Cell Histiocytosis,
Round Cell Liposarcoma,Tumor composed of sheets of round cells with scant cytoplasm and enhanced mitotic activity  with focal areas of conventional myxoid liposarcoma.,Pleomorphic Rhabdomyosarcoma ,Myxoid Liposarcoma,Melanoma,Epithelioid Sarcoma
RUD Syndrome,"Dwarfism, mental retardation, epilepsy and hypogonadism. Hyperkeratosis and/or parakeratosis. Normal or mildly thickened granular layer.",KID Syndrome,Refsum Disease,Sjogren-Larsson Syndrome,
Ruptured Epidermal Inclusion Cyst,Granulomatous and occasionally suppurative inflammation surrounding remnants of ruptured epidermal inclusion cyst.,Ruptured Hair Follicle,Granulomatous Rosacea,Acne Vulgaris,
Ruptured Hair Follicle,"Granulomatous and occasionally suppurative inflammation centered around hair follicle, often with intrafollicular involvement.",Ruptured Epidermal Inclusion Cyst,Granulomatous Rosacea,Acne Vulgaris,
S. Haematobium,Background of granulomatous dermatitis. Scattered rare ova with stippled contents and vertical spine.,Arthropod Bite,Scabies,Drug Eruption,
S. Japonicum,Background of granulomatous dermatitis. Scattered rare ova with stippled contents and no spine.,Arthropod Bite,Scabies,Drug Eruption,
S. Mansoni,Background of granulomatous dermatitis. Scattered rare ova with stippled contents and angled thick spine.,Arthropod Bite,Scabies,Drug Eruption,
Salivary Gland Carcinoma,"Glandular elements in dermis with atypia.Staining  with CK7, CEA, Androgen receptor.CK20 and ER negative.",Pancreatic Adenocarcinoma,Upper Gastrointestinal Adenocarcinoma,Metastatic Adnexal Neoplasm,Breast Adenocarcinoma
Sarcoidal Panniculitis,Non-caseating epithelioid granulomas in dermis and/or subcutaneous tissue with minimal lymphocytic infiltrate. Schumann bodies or asteroid bodies may be present. Diagnosis of exclusion.,Erythema Nodosum,Infective Panniculitis,Factitial Panniculitis,Lupus Profundus
Sarcoidosis,Non-caseating epithelioid granulomas in dermis and/or subcutaneous tissue with minimal lymphocytic infiltrate. Schumann bodies or asteroid bodies may be present. Diagnosis of exclusion.,Zirconium-Beryllium,Cutaneous Tuberculosis,Crohn's Disease,Silica Granuloma
Scabies,"Mite, ova or scybala in stratum corneum. Perivascular and interstitial inflammation with prominent eosinophils.",Arthropod Bite,Allergic Contact Dermatitis,Drug Eruption,
Scar,Fibroblast proliferation in east west direction with loss of adnexal structures and elastic fibers. Blood vessels perpendicular to surface with mild perivascular lymphocytic infiltrate.,Dermatofibroma,Desmoplastic Melanoma,Scleroderma,Connective Tissue Nevus
Scleredema,Thickened dermis with widened spaces between collagen bundles. Mucin within these spaces with more prominence in deeper dermis. No fibroblastic proliferation. No inflammation.,Scleroderma,Scleromyxedema,Morphea,Lupus Erythematosus
Sclerema Neonatarum,Lobular panniculitis with minimal inflammation and fat necrosis. Needle shaped clefts radially arranged within lipocytes. Fibrosis and calcification.,Post-Steroid Panniculitis,Subcutaneous Fat Necrosis Of Newborn,Cold Panniculitis,
Scleroderma,"Dermal sclerosis with thick closely packed hyalinized collagen bundles. Loss of periadnexal fat. Atrophy of adnexal structures, especially the pilosebaceous units. Blood vessels appear narrowed with severe intimal fibrosis in small arteries and arterioles. Sparse lymphoplasmacytic infiltrate. Calcification may be present.",Morphea,Scleredema,Lichen Myxedematosus,
Sclerodermoid Graft Versus Host Disease,Chronic form of GVHD. Early:  includes satellite cell necrosis. Dyskeratotic keratinocytes. Late: Epidermal atrophy and dermal hyalinization with fibrosis. ,Scleroderma,Morphea,Scleromyxedema,
Scleromyxedema,"Mild increase in mucin in upper to mid-dermis.  Marked increase in new collagen with associated fibroblastic proliferation. Sparse perivascular lymphocytic infiltrate, occasionally with admixed eosinophils.",Lichen Myxedematosus,Scleredema,Scleroderma,
Sclerosing Lipogranuloma,Swiss cheese appearance in dermis with surrounding fibrosis and sclerosis along with granulomatous inflammation.,Silicone Implants,Traumatic Fat Necrosis,Lipodermatosclerosis,
Scrofuloderma,Suppurative and granulomatous inflammation. Tuberculoid granulomas with caseation. AFB bacilli often present.,Ruptured Epidermal Inclusion Cyst,Atypical Mycobacterial Infection,Deep Fungal Infection,
Scrotal Calcinosis,"Amorphous masses of deeply basophilic material in dermis, surrounded by hyalinized fibrous tissue. Background of ruptured epidermal inclusion cyst may be noted.",Ruptured Epidermal Inclusion Cyst,Calcinosis Cutis,Pilomatricoma,
Scurvy,"Follicular plugging with cork-screw hairs, surrounding mild perifollicular infiltrate and perifollicular red cell extravasation. ",Phyrnoderma,Ruptured Follicle,Kerataosis Pilaris,
Seabather's Eruption,"Superficial and deep perivascular and interstitial infiltrate of lymphocytes, neutrophils and eosinophils.",Swimmer Itch Schistosomiasis,Allergic Contact Dermatitis,Arthropod Bite,
Sebaceous Carcinoma,"Atypical proliferation of predominantly foamy cells with sebaceous differentiation; focal squamoid differentiation may be noted. Pleomorphism, mitosis common. Atypical cells seem to invade the epidermis in a pagetoid fashion.",Sebeaceoma,Sebaceous Adenoma,Squamous Cell Carcinoma,Trichilemmal Carcinoma
Sebaceous Hyperplasia,Large cluster of sebaceous glands high up in the epidermis and opening around a patulous follicular opening.,Sebaceosu AdenomaRhinophyma,,Nevus Sebaceus,
Sebaceous Trichofolliculoma,Trichofolliculoma with sebaceous differentiation within the secondary follicles.,Trichofolliculoma,Dilated Pore Of Winer,Pilar Sheath Acanthoma,
Seborrheic Dermatitis,Psoriasiform and spongiotic dermatitis with overlying hyperkeratosis and parakeratosis. Perifollicular parakeratosis (shoulder parakeratosis). Neutrophilic exocytosis and variable superficial mixed inflammatory infiltrate.,Psoriasis,Allergic Contact Dermatitis,Dermatophytosis,Pityriasis Rosea
Secondary Follicular Center Cell Lymphoma,"Grenz zone. Follicular, follicular and diffuse or diffuse growth pattern. Follicles are variable in size, ill-defined and show a monotonous population of bcl-6 + follicle center cells with broken network of CD21 + follicular dendritic cells. No tingible body macrophages seen. Reduced or absent mantle zone. Admixed reactive T cells. CD19+, CD20+, CD10 +/- (lost in diffuse type), CD79a+, CD5-, CD43 -, bcl-2+, bcl-6 +.",Primary Cutaneous Marginal Zone B Cell Lymphoma,"Diffuse Large B Cell Lymphoma, Leg Type",Primary Cutaneous CD4 Positive Small-Medium T-Cell Lymphoma,Reactive Lymphoid Infiltrate
Secondary Syphilis,Psoriasiform and lichenoid/vacuolar dermatitis with long thin rete. Superficial and deep dermal lymphocytic infiltrate with admixed plasma cells. Endothelial cell swelling.,Psoriasis,Lyme Disease,Pityriasis Rosea,Pityriasis Lichenoides Et Varioloformis Acuta
Senile Purpura,Marked solar elastosis with significant red cell extravasation in dermis predominantly in a perivascular pattern in superficial to mid dermis.,Solar Elastosis,Cavernous Hemangioma,Acquired Elastotic Hemangioma,
Septic Emboli,Leukocytoclastic vasculitis with deep dermal and subcutaneous involvement. Often associated with vasculopathy in the form of thrombi in vessels. Epidermal spongiosis with neutrophilic abscesses common. Necrosis of dermal adnexa may be seen.,Septic Vasculitis,Mixed Cryoglobulinemia,Henoch Schonlein Purpura,Disseminated Intravascular Coagulation
Septic Vasculitis,Mild leukocytoclastic vasculitis with deep dermal and subcutaneous involvement. Often associated with vasculopathy in the form of thrombi in vessels. Epidermal spongiosis with neutrophilic abscesses common. Necrosis of dermal adnexa may be seen.,Septic Emboli,Mixed Cryoglobulinemia,Disseminated Intravascular Coagulation,
Sezary Syndrome,"Bandlike infiltrate and edema in upper dermis. Monotonous infiltrate of large lymphocytes with convoluted nuclei  (Sezary cells) within epidermis in 40% of cases. CD4, TCRalpha-beta +, CD8-.",Drug Eruption,Adult T Cell Lymphoma,Psoriasis,Pityriasis Rubra Pilaris
Shagreen Patch,Dense sclerotic bundles of collagen in interwoven pattern. No inflammation or increased vascularity.,Acrochordon,Morphea,Scar,
Silica Granuloma,Sarcoidal granulomas in dermis. Polarizable crystalline particles within macrophages.,Zirconium-Beryllium,Sarcoidosis,Cutaneous Tuberculosis,Deep Fungal Infection
Silicone Implants,Swiss cheese appearance in dermis with empty holes surrounded by variable fibrosis and a granulomatous response.,Sclerosing Lipogranuoma ,Traumatic Fat Necrosis,Lipodermatosclerosis,
Sinusoidal Hemangioma,"Well circumscribed dermal or subcutaneous proliferation of interconnecting, dilated thin-walled vessels. Thrombosis of some of the vessels common. Some vessels have muscular walls.",Cavernous Hemangioma,Arteriovenous Malformation,Verrucous Hemangioma,
Smallpox,Epidermal necrosis and reticular degeneration. Eosinophilic cytoplasmic and nuclear inclusions (Guarneri bodies). Mixed dermal infiltrate of lymphocytes and neutrophils.,Herpes,Hand Foot And Mouth Disease,Orf,
Smooth Muscle Hamartoma,"Epidermis may show slight papillomatous hyperplasia. Dermal proliferation of smooth muscle cells, often in a plaque like fashion in lower to mid dermis with interspersed collagen bundles. No significant atypia.",Dermatomyofibroma,Pilar Leiomyoma,Becker Nevus,
Solar Elastosis,"Blue-grey, amorphous, globular material in papillary dermis with telangiectasia. Elastic fibers appear thickened, curled and serpengious.",Actinic Granuloma Of O'Brien,Acquired Elastotic Hemangioma,Senile Purpura,Adult Colloid Milium
Solar Lentigo,"Club-shaped rete ridges with basal hyperpigmentation (puppy feet, dirty feet) in a background of solar elastosis.",Pigmented Actinic Keratosis,Large Cell Acanthoma,Lentigo Simplex,
Solitary Fibrous Tumor,"Proliferation of spindle cells in pattern less pattern. Hypo and hypercellular areas in a hyalinized stroma. Scattered prominent vessels with stag horn like configuration. No significant atypia. CD34 positive, bcl2 positive.",Dermatofibroma,Dermatofibrosarcoma Protuberans,Spindle Cell Lipoma,Hemangiopericytoma
Solitary Mastocytosis,Nodular aggregates of mast cells in papillary dermis having a fried egg appearance. Bullous forms may be seen.,Langerhan Cell Histiocytosis,Extraosseous Plasmacytoma,Intradermal Nevus,
Sparganum Proliferum,"Larva with longitudinal and horizontal muscle bundles and a longtitudal excretory duct seen in subcutaneous tissue.  Cavity surrounded by fibrosis and a granulomatous response with admixed lymphocytes, plasma cells and eosinophils.",Onchocerciasis,Cysticercosis,Wucheria Bancrofti,Dirofilariasis
Special Site Nevus,"Overlapping features of dysplastic nevus at DEJ and benign nevi in dermis. Shoulder phenomenon.  Epidermal component shows large nests with poor cohesion, but no atypia or mitosis in dermal component. Good maturation and dispersion.",Dysplastic Compound Nevus With Moderate Atypia,Dyspastic Nevus With Severe Atypia,Melanoma,
Spider Angioma,Central ascending spiral thick walled arteriole from superficial venous plexus . Ends in a thin walled ampulla in dermal papillae.,Cavernous Hemangioma,Venous Lake,Pyogenic Granuloma,
Spider Bite,Wedge shaped areas of epidermal and dermal necrosis. Mixed perivascular and interstitial infiltrate of eosinophils and neutrophils with variable vasculitis.,Pyoderma Gangrenosum,Necrotizing Fascitiis,Arthropod Bite,Purpura Fulminans
Spindle Cell Lipoma,"Circumscribed, unencapsulated tumor composed of mature adipose tissue, haphazardly arranged spindle cells intermixed with ropy collagen bundles. background of myxomatous change.",Atypical Lipomatous Tumor,Pleomorphic Lipoma,Angiolipoma,Neurofibroma
Spindle Cell Melanoma,Melanoma with predominantly fusiform cells in interwoven fascicles. May have pseudosarcomatous features with widespread cytological atypia.,Spindle Cell Squamous Cell Carcinoma,Atypical Fibroxanthoma,Leiomyosarcoma,
Spindle Cell Rhabdomyosarcoma,Predominant spindle cell proliferation with atypia  in a relatively dense collagenous background. Cytoplasmic cross-striations in at least some foci. No alveolar component.,Leiomyosarcoma,Malignant Fibrous Histiocytoma,Malignant Peripheral Nerve Sheath Tumor,Fibrosarcoma
Spindle Cell Squamous Cell Carcinoma,Squamous cell carcinoma composed of partially or predominantly atypical spindle cells in whorls or intersecting fascicles.,Spindle Cell Melanoma,Atypical Fibroxanthoma,Leiomyosarcoma,Angiosarcoma
Spiradenocarcinoma,"May have some foci of regular spiroadenoma. Markedly atypical epithelioid, stellate or fusiform cells with brisk mitotic activity. Infiltrative borders, vascular invasion and zones of necrosis may be seen. ",Hidradenocarcinoma,Malignant Mixed Tumor,Metastatic Adnexal Neoplasm,Metastatic Melanoma
Spitz Nevus,"Symmetrical, well circumscribed  melanocytic proliferation with overlying epidermal hyperplasia. Vertically oriented nests of epithelioid and spindled cells (banana bunches). Artifactual clefting of nests around DEJ. Pagetoid spread limited to center of lesion. Melanocytes show abundant amphophilic cytoplasm, large regular oval vesicular nuclei and prominent central nucleoli. Kamino bodies- homogenous pale eosinophilic globules near DEJ(basement membrane material, PAS+). Maturation and dispersion of dermal component. No mitosis in deeper component.",Pigmented Spindle Cell Nevus Of Reed,Melanoma,Epithelioid Histiocytoma,
Spitzoid Melanoma,"Melanoma with histological features of Spitz lesion with confluent growth pattern. Significant pleomorphism, little maturation or dispersion, atypical mitosis in dermal component. Epidermal consumption. Pagetoid spread throughout the lesion. Variable lymphocytic response and deep pigmentation.",Spitz Nevus,Atypical Spitz Tumor,Poorly Differentiated Squamous Cell Carcinoma,
Splinter,Foreign material in dermis associated with a granulomatous response. Splinters usually show rectangular cell walls like material.,Ruptured Epidermal Inclusion Cyst,Ruptured Follicle,Deep Fungal Infection,
Spongiotic Blistering Disorder,Severe form of spongiosis and vesiculation of an acute exanthematous process can lead to development of intraepidermal bulla. Presence of spongiosis adjacent to the bulla or away from the lesion helps make the diagnosis.,Pemphigus Vulgaris,Herpes,Darier's Disease,Bullous Dermatophytosis
